Rank Name                          Elo     +/-   Games   Score    Draw 
   1 master                        229      15    2000   78.9%   24.9% 
   2 4096                          132      13    2000   68.2%   28.4% 
   3 2048                          115      13    2000   66.0%   29.8% 
   4 1536                           99      13    2000   63.9%   32.4% 
   5 1024                           66      13    2000   59.4%   30.3% 
   6 768                            37      12    2000   55.4%   34.7% 
   7 512                             2      13    2000   50.2%   31.8% 
   8 256                           -63      13    2000   41.0%   28.5% 
   9 128                          -126      14    2000   32.6%   24.9% 
  10 64                           -217      15    2000   22.3%   20.8% 
  11 32                           -345      19    2000   12.1%   13.5% 
