   # PLAYER    :  RATING  ERROR  POINTS  PLAYED   (%)
   1 master    :   598.0   22.2  1578.5    2000    79
   2 4096      :   502.1   21.8  1363.5    2000    68
   3 2048      :   484.6   21.0  1320.5    2000    66
   4 1536      :   467.3   21.3  1277.5    2000    64
   5 1024      :   432.4   21.1  1188.5    2000    59
   6 768       :   401.0   21.1  1107.0    2000    55
   7 512       :   361.6   20.6  1004.5    2000    50
   8 256       :   289.4   20.5   819.5    2000    41
   9 128       :   220.1   20.4   653.0    2000    33
  10 64        :   122.6   20.9   446.0    2000    22
  11 32        :     0.0    0.0   241.5    2000    22
